location_id,name,locality,timezone,country_code,provider_name,isMobile,isMonitor,latitude,longitude
1914,Shoshone Bannock Tri,BANNOCK,America/Boise,US,AirNow,False,True,42.589833,-112.458889
1915,Sherwood - Lasich Ln,,America/Los_Angeles,US,AirNow,False,True,45.402446,-122.854437
1916,Coachline,Tucson,America/Phoenix,US,AirNow,False,True,32.3806,-111.1272
1917,Shenandoah NP,MADISON,America/New_York,US,AirNow,False,True,38.5231,-78.4347
1918,Shelton-W Franklin,Shelton,America/Los_Angeles,US,AirNow,False,True,47.213551,-123.100807
1919,Shell Cut,Bishop,America/Los_Angeles,US,AirNow,False,True,36.3663,-117.8976
1920,Sheffield Elementary,Jacksonville,America/New_York,US,AirNow,False,True,30.4758,-81.5869
1921,Sheboygan-Haven,SHEBOYGAN,America/Chicago,US,AirNow,False,True,43.81523,-87.79194
1922,Shasta Lake City,Redding,America/Los_Angeles,US,AirNow,False,True,40.6894,-122.4024
1923,Shapleigh Ball Park,Portland-South Portland-Biddeford,America/New_York,US,AirNow,False,True,43.58889,-70.877342
1924,Shakopee,Minneapolis-St. Paul-Bloomington,America/Chicago,US,AirNow,False,True,44.789398,-93.512497
1925,Shadyside,BELMONT,America/New_York,US,AirNow,False,True,39.9679,-80.7464
1926,Shady Cove - Shady C,Medford,America/Los_Angeles,US,AirNow,False,True,42.623225,-122.810158
1928,Colerain,Cincinnati-Middletown,America/New_York,US,AirNow,False,True,39.21494,-84.69086
1929,Sequoia and Kings Ca,Visalia-Porterville,America/Los_Angeles,US,AirNow,False,True,36.489399,-118.826897
1930,Senior Center,Phoenix-Mesa-Scottsdale,America/Phoenix,US,AirNow,False,True,33.4883,-111.855003
1931,Seminole Community C,Orlando-Kissimmee,America/New_York,US,AirNow,False,True,28.7456,-81.31
1932,Selma C301,,America/Chicago,US,AirNow,False,True,29.5875,-98.3122
1933,Seiling,DEWEY,America/Chicago,US,AirNow,False,True,36.1589,-98.9353
1934,Sedgwick,Wichita,America/Chicago,US,AirNow,False,True,37.897499,-97.492073
1935,Sebastopol,Santa Rosa-Petaluma,America/Los_Angeles,US,AirNow,False,True,38.403765,-122.818294
1936,Seattle-South Park,,America/Los_Angeles,US,AirNow,False,True,47.5309,-122.3208
1937,Seattle-Duwamish,Seattle-Tacoma-Bellevue,America/Los_Angeles,US,AirNow,False,True,47.559975,-122.338265
1938,Seattle-Beacon Hill,Seattle-Tacoma-Bellevue,America/Los_Angeles,US,AirNow,False,True,47.568236000000006,-122.308628
1939,Collins Park,,America/New_York,US,AirNow,False,True,41.663405,-83.47596
1940,Colorado College,Colorado Springs,America/Denver,US,AirNow,False,True,38.848,-104.8286
1941,Colorado Springs - H,Colorado Springs,America/Denver,US,AirNow,False,True,38.830895,-104.839243
1942,Scott County Park,Davenport-Moline-Rock Island,America/Chicago,US,AirNow,False,True,41.6992,-90.521896
1943,Colorado Springs - U,Colorado Springs,America/Denver,US,AirNow,False,True,38.9583,-104.8167
1944,Fairgrounds,Columbus,America/New_York,US,AirNow,False,True,40.002734,-82.994404
1945,Columbus - Franklin,,America/New_York,US,AirNow,False,True,39.96523,-82.95549
1946,Maple Canyon,Columbus,America/New_York,US,AirNow,False,True,40.087807,-82.959585
1947,Smoky Row Near Road,Columbus,America/New_York,US,AirNow,False,True,40.11109,-83.065376
1948,EBAM 11,SC0,America/Los_Angeles,US,AirNow,False,True,33.90144,-118.20502
1949,Concord,,America/New_York,US,AirNow,False,True,43.218601,-71.515297
1950,Concord,San Francisco-Oakland-Fremont,America/Los_Angeles,US,AirNow,False,True,37.93829999999999,-122.02499999999999
1951,United Ave,Atlanta-Sandy Springs-Marietta,America/New_York,US,AirNow,False,True,33.7206,-84.3578
1952,Congaree Bluff,Columbia,America/New_York,US,AirNow,False,True,33.814701,-80.781097
1953,Conneaut,Ashtabula,America/New_York,US,AirNow,False,True,41.959695,-80.572808
1954,Conroe Relocated C78,Houston-Sugar Land-Baytown,America/Chicago,US,AirNow,False,True,30.3503,-95.425
1955,Convent,ST. JAMES,America/Chicago,US,AirNow,False,True,29.995,-90.8172
1956,Conyers,Atlanta-Sandy Springs-Marietta,America/New_York,US,AirNow,False,True,33.5856,-84.0667
1957,NO. BHAM,Birmingham-Hoover,America/Chicago,US,AirNow,False,True,33.5531,-86.815
1958,Copan,WASHINGTON,America/Chicago,US,AirNow,False,True,36.908115,-95.88235
1960,NORMAL,Bloomington-Normal,America/Chicago,US,AirNow,False,True,40.5169,-88.9975
1961,Norristown,Philadelphia-Camden-Wilmington,America/New_York,US,AirNow,False,True,40.1122,-75.3092
1962,NORTHBRK,Chicago-Naperville-Joliet,America/Chicago,US,AirNow,False,True,42.1406,-87.7994
1963,Savannahs,ST. LUCIE,America/New_York,US,AirNow,False,True,27.38908,-80.311035
1964,Savannah L&A,Savannah,America/New_York,US,AirNow,False,True,32.0903,-81.1306
1965,Savannah East Presid,Savannah,America/New_York,US,AirNow,False,True,32.0683,-81.0489
1969,Cornwall,Torrington,America/New_York,US,AirNow,False,True,41.833099,-73.303299
1971,NR-285,Atlanta-Sandy Springs-Marietta,America/New_York,US,AirNow,False,True,33.698611,-84.272608
1972,NR-Georgia Tech,Atlanta-Sandy Springs-Marietta,America/New_York,US,AirNow,False,True,33.778315,-84.391418
1973,Corpus Christi Tulos,Corpus Christi,America/Chicago,US,AirNow,False,True,27.8333,-97.5558
1974,Corpus Christi West,Corpus Christi,America/Chicago,US,AirNow,False,True,27.765335,-97.434247
1975,Corsicana C1051,Corsicana,America/Chicago,US,AirNow,False,True,32.0319,-96.3992
1976,New Bloomfield,Jefferson City,America/Chicago,US,AirNow,False,True,38.70608,-92.09308
1977,Santa Ynez,Santa Barbara-Santa Maria,America/Los_Angeles,US,AirNow,False,True,34.605819,-120.07506
1978,Santa Teresa,Las Cruces,America/Denver,US,AirNow,False,True,31.7878,-106.6828
1979,Coso Junction,Bishop,America/Los_Angeles,US,AirNow,False,True,36.0494,-117.9439
1980,Costa Mesa - Mesa Ve,,America/Los_Angeles,US,AirNow,False,True,33.6744,-117.9294
1981,Cottage Grove City S,Eugene-Springfield,America/Los_Angeles,US,AirNow,False,True,43.7995,-123.0535
1983,County Sheriff Impou,Ocala,America/New_York,US,AirNow,False,True,29.1928,-82.1733
1985,Santa Fe Airport,Santa Fe,America/Denver,US,AirNow,False,True,35.6198,-106.0797
1987,Craters of the Moon,BUTTE,America/Boise,US,AirNow,False,True,43.460602,-113.562202
1988,Crestline - Lake Gre,,America/Los_Angeles,US,AirNow,False,True,34.24139,-117.275558
1989,Santa Clarita,Los Angeles-Long Beach-Santa Ana,America/Los_Angeles,US,AirNow,False,True,34.3833,-118.52829999999999
1990,Crystal River Preser,Homosassa Springs,America/New_York,US,AirNow,False,True,28.958372,-82.643094
1992,Nampa Fire Station,,America/Boise,US,AirNow,False,True,43.58031,-116.562676
1994,Custer-Loomis (SO-AQ,Bellingham,America/Los_Angeles,US,AirNow,False,True,48.950699,-122.554398
1995,Heath,Columbus,America/New_York,US,AirNow,False,True,40.026037,-82.433
1996,Healdton,Ardmore,America/Chicago,US,AirNow,False,True,34.256901,-97.474197
1998,Dearborn,Detroit-Warren-Livonia,America/Detroit,US,AirNow,False,True,42.3075,-83.15
1999,Sandpoint U of I,BONNER,America/Los_Angeles,US,AirNow,False,True,48.291821,-116.556557
2000,Sandcut,Terre Haute,America/Indiana/Indianapolis,US,AirNow,False,True,39.558525,-87.312883
2001,San Ramon,San Francisco-Oakland-Fremont,America/Los_Angeles,US,AirNow,False,True,37.743649,-121.934188
2002,San Rafael,San Francisco-Oakland-Fremont,America/Los_Angeles,US,AirNow,False,True,37.972199999999994,-122.51890000000002
2003,San Pablo - Rumrill,San Francisco-Oakland-Fremont,America/Los_Angeles,US,AirNow,False,True,37.9604,-122.35709999999999
2004,San Martin,San Jose-Sunnyvale-Santa Clara,America/Los_Angeles,US,AirNow,False,True,37.0792,-121.5994
2005,Napa - Jefferson St,,America/Los_Angeles,US,AirNow,False,True,38.3108,-122.295
2007,San Jose - Knox Ave,San Jose-Sunnyvale-Santa Clara,America/Los_Angeles,US,AirNow,False,True,37.338202,-121.849892
